side_a,side_b,starting_date
Israel,West Bank,1948
Democratic Republic of the Congo,"Central African Republic,Rwanda,Burundi,Uganda",1996
Ukraine,Russia,2014
Sudan,South Sudan,2011
Sudan,,2008
Syria,,2011
Cameroon,,2017
Ethiopia,,2018
Haiti,,2020
Myanmar,,1948
Ecuador,,2024
Nigeria,,1998
Niger,,2016
Chad,,2012
Yemen,,2014
Cameroon,,2012
Somalia,,1991
Kenya,,1991
Colombia,,1964
Afghanistan,,1978
Mexico,,2006
Belize,,2006
El Salvador,,2006
Honduras,,2006
Guatemala,,2006
Nicaragua,,2006
United States,,2006
Venezuela,,2010
Jamaica,,1943
India,,1954
Indonesia,,1962
Democratic Republic of the Congo,,1963
Philippines,,1969
Morocco,,1970
Turkey,,1972
Angola,,1975
Laos,,1975
Somalia,,1991
Peru,,1980
Senegal,,2014
Iraq,,2003
Thailand,,2004
Pakistan,,2004
Paraguay,,2005
Mali,,2012
Burkina Faso,,2015
Central African Republic,,2012
Mozambique,,2017
Russia,,2017
Bangladesh,,2022